R_fighter,B_fighter,title_bout,date,weight_class,Winner
Maurice Greene,Greg Hardy,False,2020-10-31,Heavyweight,Blue
Sean Strickland,Jack Marshman,False,2020-10-31,Middleweight,Red
Bobby Green,Thiago Moises,False,2020-10-31,Lightweight,Blue
Kevin Holland,Charlie Ontiveros,False,2020-10-31,Middleweight,Red
Uriah Hall,Anderson Silva,False,2020-10-31,Middleweight,Red
Bryce Mitchell,Andre Fili,False,2020-10-31,Featherweight,Red
Dustin Jacoby,Justin Ledet,False,2020-10-31,LightHeavyweight,Red
Cole Williams,Jason Witt,False,2020-10-31,Welterweight,Blue
Miles Johns,Kevin Natividad,False,2020-10-31,Bantamweight,Red
Jacob Malkoun,Phil Hawes,False,2020-10-24,Middleweight,Blue
Alexander Volkov,Walt Harris,False,2020-10-24,Heavyweight,Red
Magomed Ankalaev,Ion Cutelaba,False,2020-10-24,LightHeavyweight,Red
Stefan Struve,Tai Tuivasa,False,2020-10-24,Heavyweight,Blue
Robert Whittaker,Jared Cannonier,False,2020-10-24,Middleweight,Red
Lauren Murphy,Liliya Shakirova,False,2020-10-24,WomenFlyweight,Red
Khabib Nurmagomedov,Justin Gaethje,True,2020-10-24,Lightweight,Red
Nathaniel Wood,Casey Kenney,False,2020-10-24,CatchWeight,Blue
Joel Alvarez,Alexander Yakovlev,False,2020-10-24,Lightweight,Red
Liana Jojua,Miranda Maverick,False,2020-10-24,WomenFlyweight,Blue
Da-Un Jung,Sam Alvey,False,2020-10-24,LightHeavyweight,Draw
Alex Oliveira,Shavkat Rakhmonov,False,2020-10-24,Welterweight,Blue
Katlyn Chookagian,Jessica Andrade,False,2020-10-17,WomenFlyweight,Blue
Thomas Almeida,Jonathan Martinez,False,2020-10-17,Featherweight,Blue
Jimmy Crute,Modestas Bukauskas,False,2020-10-17,LightHeavyweight,Red
Mateusz Gamrot,Guram Kutateladze,False,2020-10-17,Lightweight,Blue
Junyong Park,John Phillips,False,2020-10-17,Middleweight,Red
Gillian Robertson,Poliana Botelho,False,2020-10-17,WomenFlyweight,Red
Claudio Silva,James Krause,False,2020-10-17,Welterweight,Blue
Brian Ortega,Chan Sung Jung,False,2020-10-17,Featherweight,Red
Gadzhimurad Antigulov,Maxim Grishin,False,2020-10-17,LightHeavyweight,Blue
Said Nurmagomedov,Mark Striegl,False,2020-10-17,Bantamweight,Red
Jamie Mullarkey,Fares Ziam,False,2020-10-17,Lightweight,Blue
Marlon Moraes,Cory Sandhagen,False,2020-10-10,Bantamweight,Blue
Tom Breese,KB Bhullar,False,2020-10-10,Middleweight,Red
Chris Daukaus,Rodrigo Nascimento,False,2020-10-10,Heavyweight,Red
Markus Perez,Dricus Du Plessis,False,2020-10-10,Middleweight,Blue
Ben Rothwell,Marcin Tybura,False,2020-10-10,Heavyweight,Blue
Youssef Zalal,Ilia Topuria,False,2020-10-10,Featherweight,Blue
Tom Aspinall,Alan Baudot,False,2020-10-10,Heavyweight,Red
Edson Barboza,Makwan Amirkhani,False,2020-10-10,Featherweight,Red
Impa Kasanganay,Joaquin Buckley,False,2020-10-10,Middleweight,Blue
Giga Chikadze,Omar Morales,False,2020-10-10,Featherweight,Red
Ali AlQaisi,Tony Kelley,False,2020-10-10,Bantamweight,Blue
Tracy Cortez,Stephanie Egger,False,2020-10-10,WomenBantamweight,Red
Bruno Silva,Tagir Ulanbekov,False,2020-10-10,Flyweight,Blue
Carlos Condit,Court McGee,False,2020-10-03,Welterweight,Red
Dequan Townsend,Dusko Todorovic,False,2020-10-03,Middleweight,Blue
Charles Jourdain,Josh Culibao,False,2020-10-03,Featherweight,Draw
Germaine de Randamie,Julianna Pena,False,2020-10-03,WomenBantamweight,Red
Kyler Phillips,Cameron Else,False,2020-10-03,Bantamweight,Red
Holly Holm,Irene Aldana,False,2020-10-03,WomenBantamweight,Red
Yorgan De Castro,Carlos Felipe,False,2020-10-03,Heavyweight,Blue
Jordan Williams,Nassourdine Imavov,False,2020-10-03,Middleweight,Blue
Loma Lookboonmee,Jinh Yu Frey,False,2020-10-03,WomenStrawweight,Red
Casey Kenney,Heili Alateng,False,2020-10-03,Bantamweight,Red
Luigi Vendramini,Jessin Ayari,False,2020-10-03,Lightweight,Red
Ketlen Vieira,Sijara Eubanks,False,2020-09-26,WomenBantamweight,Red
Israel Adesanya,Paulo Costa,True,2020-09-26,Middleweight,Red
Kai Kara-France,Brandon Royval,False,2020-09-26,Flyweight,Blue
