R_fighter,B_fighter,R_wins,R_draw,R_losses,B_wins,B_draw,B_losses
Colby Covington,Tyron Woodley,10,0,2,9,0,5
Mackenzie Dern,Randa Markos,3,0,1,6,0,8
Jordan Espinosa,David Dvorak,2,0,2,1,0,0
Kevin Holland,Darren Stewart,5,0,2,5,0,5
Khamzat Chimaev,Gerald Meerschaert,2,0,0,6,0,5
Donald Cerrone,Niko Price,23,0,12,6,0,5
Jessica-Rose Clark,Sarah Alpar,2,0,2,0,0,0
Darrick Minner,TJ Laramie,0,0,1,0,0,0
Journey Newson,Randy Costa,0,0,2,1,0,1
Mayra Bueno Silva,Mara Romero Borella,1,0,1,2,0,4
Andre Ewell,Irwin Rivera,3,0,2,1,0,1
Tyson Nam,Jerome Rivera,1,0,2,0,0,0
Bobby Green,Alan Patrick,7,0,6,5,0,2
Roosevelt Roberts,Kevin Croom,4,0,2,0,0,0
Billy Quarantillo,Kyle Nelson,2,0,0,1,0,2
Julia Avila,Sijara Eubanks,2,0,0,3,0,2
Michelle Waterson,Angela Hill,5,0,4,7,0,8
Roxanne Modafferi,Andrea Lee,3,0,5,3,0,2
Ed Herman,Mike Rodriguez,12,0,11,2,0,3
Ottman Azaitar,Khama Worthy,1,0,0,2,0,0
Alexandr Romanov,Roque Martinez,0,0,0,0,0,0
Brok Weaver,Jalin Turner,1,0,1,2,0,2
Bryan Barberena,Anthony Ivy,5,0,5,0,0,1
Sabina Mazo,Justine Kish,2,0,1,3,0,2
Ovince Saint Preux,Alonzo Menifield,12,0,9,2,0,1
Brian Kelleher,Ray Rodriguez,5,0,4,0,0,0
Michel Pereira,Zelim Imadaev,1,0,2,0,0,2
Viviane Araujo,Montana De La Rosa,2,0,1,4,0,1
Andre Muniz,Bartosz Fabinski,1,0,0,3,0,1
Cole Smith,Hunter Azure,1,0,1,1,0,1
Alistair Overeem,Augusto Sakai,11,0,7,4,0,0
Alessio Di Chirico,Zak Cummings,3,0,4,8,0,4
Anthony Smith,Aleksandar Rakic,8,0,5,4,0,1
Ricardo Lamas,Bill Algeo,10,0,6,0,0,0
Robbie Lawler,Neil Magny,13,0,8,16,0,6
Ji Yeon Kim,Alexa Grasso,3,0,2,3,0,3
Alex Caceres,Austin Springer,11,0,11,0,0,0
Maki Pitolo,Impa Kasanganay,1,0,2,0,0,0
Sean Brady,Christian Aguilera,2,0,0,1,0,0
Mallory Martin,Hannah Cifers,0,0,1,2,0,4
Polyana Viana,Emily Whitmire,1,0,3,2,0,2
